gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
3798497342,12b18c27-d292-4aa6-a23e-246e14b0a443,mohonk:dsrc:grasslands:24628,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Malus,Malus coronaria,,SPECIES,Malus coronaria (L.) Mill.,Malus coronaria,,US,,New York,PRESENT,,90c5397a-6f94-4396-8e9c-cdcf6f59ef69,41.79721,-74.12501,,,,,,,2019-05-31,31,5,2019,3001166,3001166,HUMAN_OBSERVATION,,,,,,,CC0_1_0,,Catherine T. Ferarri;Megan Napoli,,,2024-01-26 5:42,,
3798497119,12b18c27-d292-4aa6-a23e-246e14b0a443,mohonk:dsrc:grasslands:34033,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Malus,Malus coronaria,,SPECIES,Malus coronaria (L.) Mill.,Malus coronaria,,US,,New York,PRESENT,,90c5397a-6f94-4396-8e9c-cdcf6f59ef69,41.7445,-74.1256,,,,,,,2017-08-03,3,8,2017,3001166,3001166,HUMAN_OBSERVATION,,,,,,,CC0_1_0,,Catherine T. Ferarri;Michael Vivirito,,,2024-01-26 5:42,,
3798496958,12b18c27-d292-4aa6-a23e-246e14b0a443,mohonk:dsrc:grasslands:12715,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Malus,Malus coronaria,,SPECIES,Malus coronaria (L.) Mill.,Malus coronaria,,US,,New York,PRESENT,,90c5397a-6f94-4396-8e9c-cdcf6f59ef69,41.75273,-74.13164,,,,,,,2021-06-25,25,6,2021,3001166,3001166,HUMAN_OBSERVATION,,,,,,,CC0_1_0,,Megan Napoli;Christopher Chinkan;Ralph Green,,,2024-01-26 5:42,,
3798496682,12b18c27-d292-4aa6-a23e-246e14b0a443,mohonk:dsrc:grasslands:36959,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Malus,Malus coronaria,,SPECIES,Malus coronaria (L.) Mill.,Malus coronaria,,US,,New York,PRESENT,,90c5397a-6f94-4396-8e9c-cdcf6f59ef69,41.7445,-74.1215,,,,,,,2018-06-29,29,6,2018,3001166,3001166,HUMAN_OBSERVATION,,,,,,,CC0_1_0,,Catherine T. Ferarri;Miriam Quintana Vargas,,,2024-01-26 5:42,,
3798496556,12b18c27-d292-4aa6-a23e-246e14b0a443,mohonk:dsrc:grasslands:22329,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Malus,Malus coronaria,,SPECIES,Malus coronaria (L.) Mill.,Malus coronaria,,US,,New York,PRESENT,,90c5397a-6f94-4396-8e9c-cdcf6f59ef69,41.79391,-74.12825,,,,,,,2018-08-08,8,8,2018,3001166,3001166,HUMAN_OBSERVATION,,,,,,,CC0_1_0,,Catherine T. Ferarri;Jacob C. Erle;Aiden Leitner,,,2024-01-26 5:42,,
3798496413,12b18c27-d292-4aa6-a23e-246e14b0a443,mohonk:dsrc:grasslands:9580,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Malus,Malus coronaria,,SPECIES,Malus coronaria (L.) Mill.,Malus coronaria,,US,,New York,PRESENT,,90c5397a-6f94-4396-8e9c-cdcf6f59ef69,41.75191,-74.14995,,,,,,,2018-05-30,30,5,2018,3001166,3001166,HUMAN_OBSERVATION,,,,,,,CC0_1_0,,Catherine T. Ferarri;Jacob C. Erle,,,2024-01-26 5:42,,
3798496373,12b18c27-d292-4aa6-a23e-246e14b0a443,mohonk:dsrc:grasslands:10416,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Malus,Malus coronaria,,SPECIES,Malus coronaria (L.) Mill.,Malus coronaria,,US,,New York,PRESENT,,90c5397a-6f94-4396-8e9c-cdcf6f59ef69,41.75277,-74.15053,,,,,,,2018-05-24,24,5,2018,3001166,3001166,HUMAN_OBSERVATION,,,,,,,CC0_1_0,,Catherine T. Ferarri;Jacob C. Erle,,,2024-01-26 5:42,,
3798496113,12b18c27-d292-4aa6-a23e-246e14b0a443,mohonk:dsrc:grasslands:10207,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Malus,Malus coronaria,,SPECIES,Malus coronaria (L.) Mill.,Malus coronaria,,US,,New York,PRESENT,,90c5397a-6f94-4396-8e9c-cdcf6f59ef69,41.75282,-74.15053,,,,,,,2017-08-23,23,8,2017,3001166,3001166,HUMAN_OBSERVATION,,,,,,,CC0_1_0,,Catherine T. Ferarri,,,2024-01-26 5:42,,
3798495878,12b18c27-d292-4aa6-a23e-246e14b0a443,mohonk:dsrc:grasslands:34242,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Malus,Malus coronaria,,SPECIES,Malus coronaria (L.) Mill.,Malus coronaria,,US,,New York,PRESENT,,90c5397a-6f94-4396-8e9c-cdcf6f59ef69,41.74443,-74.12561,,,,,,,2018-06-18,18,6,2018,3001166,3001166,HUMAN_OBSERVATION,,,,,,,CC0_1_0,,Catherine T. Ferarri;Jacob C. Erle,,,2024-01-26 5:42,,
3798495550,12b18c27-d292-4aa6-a23e-246e14b0a443,mohonk:dsrc:grasslands:12924,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Malus,Malus coronaria,,SPECIES,Malus coronaria (L.) Mill.,Malus coronaria,,US,,New York,PRESENT,,90c5397a-6f94-4396-8e9c-cdcf6f59ef69,41.75273,-74.13164,,,,,,,2021-08-17,17,8,2021,3001166,3001166,HUMAN_OBSERVATION,,,,,,,CC0_1_0,,Megan Napoli;Ralph Green;Rayna Berger,,,2024-01-26 5:42,,
