gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3470664231	7611cc2b-ea25-44ba-b951-b8f8e163e1b1	11e225e8-e6df-49a2-850b-a91f1e738951	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Malus	Malus coronaria		SPECIES	Malus coronaria (L.) Mill.	Malus coronaria	(L.) Mill.	US	Campbell University Campus. Disc golf course/cross country trail. Growing along the margins of cross country trail near old homestead along Kivett Road.	North Carolina	PRESENT		0ed54c42-ce67-45ef-bc36-f7ab9b8c080a	35.412439	-78.728222							2014-03-26	26	3	2014	3001166	3001166	PRESERVED_SPECIMEN	CAU		CAU00000509	2014.52			CC0_1_0		J. Christopher Havran			2024-09-20T11:13:59.691Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_FUZZY
3468985402	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/79195148	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Malus	Malus coronaria		SPECIES	Malus coronaria (L.) Mill.	Malus coronaria		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	43.26306	-80.385287	8.0						2021-05-16T14:52	16	5	2021	3001166	3001166	HUMAN_OBSERVATION	iNaturalist	Observations	79195148		Richard Baxter	2021-05-17T20:52:59	CC_BY_NC_4_0	Richard Baxter	Richard Baxter			2024-09-21T09:19:27.139Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
3468805459	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/79349530	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Malus	Malus coronaria		SPECIES	Malus coronaria (L.) Mill.	Malus coronaria		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	43.139334	-80.218871	61.0						2021-05-17T17:03	17	5	2021	3001166	3001166	HUMAN_OBSERVATION	iNaturalist	Observations	79349530		William (Bill) Lamond	2021-05-19T02:03:29	CC_BY_NC_4_0	William (Bill) Lamond	William (Bill) Lamond			2024-09-21T09:21:05.706Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
3466488378	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/105633022	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Malus	Malus coronaria		SPECIES	Malus coronaria (L.) Mill.	Malus coronaria		US		New York	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	42.673408	-77.337282	93.0						2015-09-13T15:01	13	9	2015	3001166	3001166	HUMAN_OBSERVATION	iNaturalist	Observations	105633022				CC_BY_NC_4_0	Douglas Goldman	Douglas Goldman			2024-09-21T08:55:40.815Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
3466089584	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/79025225	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Malus	Malus coronaria		SPECIES	Malus coronaria (L.) Mill.	Malus coronaria		US		New York	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	42.727356	-77.920708	65.0						2021-05-16T13:25:21	16	5	2021	3001166	3001166	HUMAN_OBSERVATION	iNaturalist	Observations	79025225		eamonlyons	2021-05-16T17:49:17	CC_BY_NC_4_0	eamonlyons	eamonlyons			2024-09-21T09:22:30.254Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
3456279172	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/75162936	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Malus	Malus coronaria		SPECIES	Malus coronaria (L.) Mill.	Malus coronaria		US		Illinois	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	37.513775	-89.252721	28388.0						2021-04-24T19:20:41Z	24	4	2021	3001166	3001166	HUMAN_OBSERVATION	iNaturalist	Observations	75162936		abelkinser	2021-04-25T12:23:37	CC_BY_NC_4_0	abelkinser	abelkinser			2024-09-21T09:16:03.370Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
3455762995	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/100638107	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Malus	Malus coronaria		SPECIES	Malus coronaria (L.) Mill.	Malus coronaria		US		Missouri	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	38.574034	-90.371429							2021-11-08T11:18	8	11	2021	3001166	3001166	HUMAN_OBSERVATION	iNaturalist	Observations	100638107		Lori Schuster	2021-11-09T00:06:28	CC0_1_0	Lori Schuster	Lori Schuster			2024-09-21T09:22:02.431Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
3435795327	ef1eb15d-460a-434d-807d-4ab3b6223d32	8f693822-8081-4dcc-a381-a2a3d24da279	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Malus	Malus coronaria		SPECIES	Malus coronaria (L.) Mill.	Malus coronaria	(L.) Mill.	US	Southwestern Appalachians. Cumberland Plateau Ecoregion. USGS Ozone 7.5' Quad. Ozone Falls Natural Area. 4.3 mi. ESE of Crab Orchard. Along trail from parking lot, above falls, about halfway from parking lot to falls.	Tennessee	PRESENT		5b31a95f-5326-45b2-a52c-52cf3d724719	35.88099	-84.81026	100.0						2016-04-20	20	4	2016	3001166	3001166	PRESERVED_SPECIMEN	ANHC		ANHC011408	16-0079	Theo Witsell	2016-04-20T00:00:00	CC_BY_4_0		Theo Witsell; Dwayne Estes, Devin Rodgers, Chris Maussert-Mooney, & Mason Brock			2024-09-08T20:02:44.502Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_FUZZY
3416021431	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/101709378	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Malus	Malus coronaria		SPECIES	Malus coronaria (L.) Mill.	Malus coronaria		US		Ohio	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	41.104347	-81.91687							2021-11-18T11:47	18	11	2021	3001166	3001166	HUMAN_OBSERVATION	iNaturalist	Observations	101709378		Ad Konings	2021-11-22T16:44:30	CC_BY_NC_4_0	Ad Konings	Ad Konings			2024-09-21T08:55:08.103Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
3413423564	1b9eaa10-8441-481c-b50a-391ba168a86f	http://arctos.database.museum/guid/CHAS:Herb:2021.10.31?seid=5146114	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Malus	Malus coronaria		SPECIES	Malus coronaria (L.) Mill.	Malus coronaria		US	Dowagiac, North Wayne	Michigan	PRESENT		f2489500-dbab-4fbc-95ed-19eead127483	42.050677	-86.04984	4807.0						1800-01-01/2008-01-16				3001166	3001166	PRESERVED_SPECIMEN	CHAS	Herb	CHAS:Herb:2021.10.31		Gerould S. Wilhelm	2014-04-01T00:00:00	CC0_1_0		Collector(s): unknown			2024-09-24T07:43:58.772Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
